H??E@ek,52,4,34
H??E@em,49,7,52
H??E@en,52,13,61
H??E@e},52,8,52
H??E@fK,20,2,26
H??E@fM,28,4,33
H??E@fN,39,11,41
H??E@fk,38,5,20
H??E@fm,39,7,26
H??E@fn,46,9,26
H??E@f{,34,6,14
H??E@f},37,8,15
H??E@f~,40,10,16
H??E@ou,36,4,84
H??E@ov,43,16,96
H??E@o},48,9,111
H??E@o~,57,21,118
H??E@qF,29,5,44
H??E@qc,0,0,0
H??E@qd,36,8,25
H??E@qe,22,3,35
H??E@qf,42,12,66
H??E@qs,48,6,22
H??E@qt,57,9,29
H??E@qu,54,7,51
H??E@qv,51,15,62
H??E@q{,51,6,57
H??E@q|,64,11,44
H??E@q},55,9,62
H??E@q~,57,14,69
H??E@rD,22,2,44
H??E@rF,28,3,44
H??E@rc,24,2,34
H??E@rd,45,7,46
H??E@re,28,4,28
H??E@rf,39,13,36
H??E@rs,50,8,46
H??E@rt,63,9,36
H??E@ru,53,8,20
H??E@rv,49,11,20
H??E@r{,66,8,56
H??E@r|,60,11,50
H??E@r},50,10,28
H??E@r~,45,13,14
H??E@sv,51,40,126
H??E@s{,39,9,120
H??E@s|,49,21,126
H??E@s},49,35,140
H??E@s~,62,48,142
H??E@uf,54,19,67
H??E@us,57,7,48
H??E@ut,58,13,57
H??E@uu,54,11,63
H??E@uv,57,20,67
H??E@u{,55,9,62
H??E@u|,55,15,70
H??E@u},61,13,66
H??E@u~,64,19,71
H??E@vF,40,16,49
H??E@vc,36,6,35
H??E@vd,39,11,38
H??E@ve,40,8,40
H??E@vf,46,15,38
H??E@vs,44,8,20
H??E@vt,47,11,22
H??E@vu,48,10,22
H??E@vv,53,13,22
H??E@v{,43,10,13
H??E@v|,45,13,14
H??E@v},46,12,14
H??E@v~,48,15,15
H??E@w},44,16,164
H??E@w~,54,30,168
H??E@yq,40,8,57
H??E@yr,43,14,63
H??E@yw,39,6,45
H??E@yx,64,13,42
H??E@yy,51,9,66
H??E@yz,49,19,72
H??E@y{,36,8,76
H??E@y|,75,15,63
H??E@y},58,11,85
H??E@y~,60,18,90
H??E@za,19,5,36
H??E@zb,38,14,44
H??E@zo,26,6,40
H??E@zp,60,9,30
H??E@zq,35,10,36
H??E@zr,39,16,35
H??E@zw,30,8,52
H??E@zx,79,11,31
H??E@zy,50,10,17
H??E@zz,50,14,20
H??E@z{,36,10,62
H??E@z|,76,13,54
H??E@z},55,12,24
H??E@z~,50,16,18
H??E@{},54,50,176
H??E@{~,69,63,176
H??E@}y,54,16,70
H??E@}z,55,23,76
H??E@}{,58,15,81
H??E@}|,60,18,90
H??E@}},62,19,87
H??E@}~,65,22,95
H??E@~q,45,11,34
H??E@~r,51,16,32
H??E@~w,41,10,15
H??E@~x,42,14,16
H??E@~y,57,12,15
H??E@~z,59,16,16
H??E@~{,55,12,11
H??E@~|,56,16,12
H??E@~},58,14,12
H??E@~~,59,18,13
H??ED?],0,0,0
H??ED?^,36,12,52
H??ED?},38,8,59
H??ED@[,0,0,0
H??ED@],23,4,21
H??ED@^,39,8,37
H??ED@{,36,2,94
H??ED@},44,6,48
H??ED@~,40,10,38
H??EDA[,0,0,0
H??EDA],30,4,32
H??EDA^,38,10,52
H??EDA},47,6,43
H??EDB[,22,3,59
H??EDB],40,4,21
H??EDB^,34,6,30
H??EDB{,50,12,71
H??EDB},39,5,36
H??EDB~,30,7,17
H??EDC^,44,20,61
H??EDC},40,13,61
H??EDD[,10,3,26
H??EDD],30,8,46
H??EDD^,40,12,46
H??EDD{,33,4,40
H??EDD},37,8,43
H??EDD~,44,10,45
H??EDE[,27,1,29
H??EDE],38,6,51
H??EDE^,50,11,59
H??EDE},44,7,47
H??EDF[,29,3,28
H??EDF],30,6,34
H??EDF^,38,7,35
H??EDF{,28,4,16
H??EDF},30,6,18
H??EDF~,32,8,20
H??ED_M,0,0,0
H??ED_m,50,9,61
H??ED_n,45,19,74
H??ED_{,38,4,62
H??ED_|,46,12,47
H??ED_},55,12,73
H??ED_~,54,18,80
H??ED`K,0,0,0
H??ED`L,38,11,51
H??ED`M,19,4,28
H??ED`N,35,14,47
H??ED`k,56,4,66
H??ED`l,57,9,53
H??ED`m,49,7,49
H??ED`n,44,13,47
H??ED`{,58,7,95
H??ED`|,65,11,59
H??ED`},49,9,59
H??ED`~,49,14,47
H??EDaL,29,12,40
H??EDaM,28,3,44
H??EDaN,38,14,68
H??EDak,54,6,40
H??EDal,56,9,40
H??EDam,55,6,53
H??EDan,51,13,62
H??EDa{,61,6,71
H??EDa|,67,11,41
H??EDa},61,9,50
H??EDa~,59,13,54
H??EDbK,41,3,40
H??EDbL,42,9,45
H??EDbM,35,4,36
H??EDbN,34,12,45
H??EDbk,53,5,68
H??EDbl,60,9,35
H??EDbm,52,7,29
H??EDbn,43,10,28
H??EDb{,78,14,61
H??EDb|,55,10,45
H??EDb},46,9,35
H??EDb~,38,12,16
H??EDc},46,21,85
H??EDc~,53,27,91
H??EDdN,38,18,56
H??EDdk,35,7,49
H??EDdl,41,14,49
H??EDdm,39,10,55
H??EDdn,46,17,54
H??EDd{,40,9,50
H??EDd|,43,14,53
H??EDd},45,12,53
H??EDd~,51,17,53
H??EDeN,51,21,72
H??EDek,46,6,56
H??EDel,53,12,61
H??EDem,46,12,68
H??EDen,56,18,70
H??EDe{,49,8,55
H??EDe|,50,14,62
H??EDe},52,14,60
H??EDe~,59,18,63
H??EDfK,26,5,47
