E?Bw,0,0,0
E?bo,0,0,0
E?bw,6,3,3
E?ow,0,0,0
E?qo,0,0,0
E?qw,8,4,6
E?ro,10,4,10
E?rw,9,6,5
E?zO,8,8,4
E?zW,13,6,6
E?zo,12,9,9
E?zw,13,8,7
E?~o,16,8,8
E?~w,17,10,9
ECR_,0,0,0
ECRo,11,0,4
ECRw,10,4,4
ECYW,11,2,5
ECZ?,0,0,0
ECZG,14,0,4
ECZO,9,0,3
ECZW,14,3,7
ECZ_,4,0,12
ECZg,19,2,9
ECZo,15,2,11
ECZw,11,5,8
ECfo,8,2,5
ECfw,9,3,6
ECpo,13,1,16
ECqg,15,0,6
ECr_,7,5,16
ECrg,19,2,9
ECro,13,3,14
ECrw,10,4,7
ECuw,17,2,11
ECvo,11,3,7
ECvw,12,4,8
ECxo,14,1,20
ECxw,13,9,18
ECzW,15,4,9
ECzg,18,5,19
ECzo,13,4,15
ECzw,12,6,9
EC~o,10,8,9
EC~w,11,9,10
EEhW,15,1,14
EEh_,12,0,12
EEho,17,1,17
EEhw,16,4,20
EEiW,12,0,13
EEio,15,3,12
EEjW,15,3,10
EEj_,13,1,14
EEjo,15,3,14
EEjw,13,5,9
EElw,15,6,24
EEno,13,5,9
EEnw,12,8,10
EEr_,10,4,16
EEro,17,3,15
EErw,12,4,8
EEuw,16,6,10
EEvo,13,3,8
EEvw,13,5,9
EEzO,13,2,13
EEz_,12,4,16
EEzg,15,4,26
EEzo,12,6,18
EEzw,13,7,10
EE~w,11,11,11
EFzW,10,10,10
EFz_,9,9,9
EFzo,11,9,20
EFzw,11,11,11
EF~w,12,12,12
EQjO,18,0,0
EQj_,5,0,10
EQjg,18,6,0
EQjo,18,0,6
EQjw,13,0,5
EQyw,13,4,10
EQzO,16,2,6
EQzW,15,2,10
EQzg,17,9,6
EQzo,13,3,11
EQzw,12,0,8
EQ~o,12,0,8
EQ~w,13,0,9
ETno,12,3,3
ETnw,10,6,4
ETzg,16,0,14
ETzo,12,3,15
ETzw,11,1,10
ET~w,12,0,12
EUZO,14,4,6
EUZ_,14,1,17
EUZo,11,3,13
EUZw,10,0,10
EUxo,9,0,18
EUzW,10,5,15
EUzo,10,2,18
EUzw,11,0,11
EU~w,12,0,12
EV~w,13,0,13
E]yw,11,0,11
E]zg,17,6,21
E]zo,11,2,20
E]zw,12,0,12
E]~o,12,0,12
E]~w,13,0,13
E^~w,14,0,14
E~~w,15,0,0
