FCQfO,33,13,59
FCQfW,41,8,55
FCQf_,34,5,39
FCQfg,38,2,51
FCQfo,36,5,49
FCQfw,35,14,51
FCQrO,26,0,34
FCQrW,33,6,51
FCQuW,40,18,62
FCQug,48,12,30
FCQuo,44,7,53
FCQuw,47,16,54
FCQvO,33,4,53
FCQvW,33,10,57
FCQv_,42,4,45
FCQvg,44,7,53
FCQvo,34,8,58
FCQvw,35,16,59
FCRTo,41,17,62
FCRTw,42,30,63
FCRV?,35,10,45
FCRVO,44,15,61
FCRVW,45,27,63
FCRV_,45,13,47
FCRVg,51,22,47
FCRVo,47,27,61
FCRVw,50,41,59
FCR^o,48,20,62
FCR^w,53,30,60
FCR`o,30,0,50
FCR`w,29,7,54
FCRbg,32,13,59
FCRcw,36,23,61
FCRdg,40,1,50
FCRdo,30,1,59
FCRdw,30,11,59
FCReg,39,17,49
FCReo,40,8,56
FCRew,39,20,58
FCRfG,46,8,51
FCRf_,32,13,59
FCRfg,35,14,68
FCRfo,24,8,68
FCRfw,24,22,64
FCRto,32,2,66
FCRtw,33,11,66
FCRuo,44,12,61
FCRuw,47,22,61
FCRvO,28,4,68
FCRvW,29,11,70
FCRv_,39,17,61
FCRvg,40,18,72
FCRvo,28,11,71
FCRvw,29,19,72
FCR~o,24,20,52
FCR~w,25,26,53
FCXe_,29,4,44
FCXeo,36,0,54
FCXf?,34,8,60
FCXfO,39,5,47
FCXfW,40,4,44
FCXf_,33,10,56
FCXfo,34,4,62
FCXfw,31,12,56
FCXkw,38,18,54
FCXmW,45,5,54
FCXmo,35,7,58
FCXmw,37,13,60
FCXnO,45,0,43
FCXnW,46,6,47
FCXn_,34,4,52
FCXno,33,12,54
FCXnw,36,18,54
FCY[w,65,30,25
FCY]g,56,18,61
FCY]o,40,28,67
FCY]w,53,31,66
FCY^G,30,16,64
FCY^O,27,15,68
FCY^W,31,25,65
FCY^_,27,13,60
FCY^g,32,24,54
FCY^o,28,22,60
FCY^w,33,32,55
FCZHw,29,7,64
FCZIw,39,13,65
FCZJg,28,8,64
FCZJo,28,4,68
FCZJw,30,12,68
FCZKw,40,23,72
FCZLW,38,6,73
FCZLg,27,6,67
FCZLo,27,8,65
FCZLw,26,13,71
FCZMW,54,18,48
FCZMg,40,9,68
FCZMo,37,16,64
FCZMw,42,19,69
FCZNG,38,13,66
FCZNW,42,18,70
FCZN_,26,5,69
FCZNg,25,13,72
FCZNo,26,13,71
FCZNw,29,21,70
FCZSo,44,14,62
FCZTO,30,0,60
FCZTg,37,2,61
FCZTo,28,4,68
FCZTw,28,11,71
FCZUO,39,6,59
FCZUg,47,3,54
FCZUo,42,11,64
FCZUw,46,17,67
FCZV?,28,0,62
FCZVO,29,3,68
FCZVW,29,11,70
FCZV_,29,2,69
FCZVg,31,12,67
FCZVo,26,12,72
FCZVw,30,22,68
FCZ\w,22,19,79
FCZ]w,46,26,71
FCZ^_,23,12,75
FCZ^g,24,21,75
FCZ^o,25,24,71
FCZ^w,26,30,74
FCZbO,41,1,49
FCZb_,23,2,65
FCZbg,27,8,55
FCZbo,30,0,60
FCZbw,26,11,62
FCZco,29,6,64
