I??????~w,0,0,0
I????A?~o,0,0,0
I????A?~w,16,3,5
I????B?Nw,0,0,0
I????B?no,0,0,0
I????B?nw,20,4,18
I????B?~o,22,4,30
I????B?~w,23,6,11
I????B_Fw,0,0,0
I????B_fo,0,0,0
I????B_fw,20,12,25
I????B_vo,30,10,28
I????B_vw,32,9,24
I????B_~o,30,9,39
I????B_~w,34,9,13
I????BoBw,0,0,0
I????Bobo,0,0,0
I????Bobw,19,18,32
I????Boro,32,8,40
I????Borw,33,15,37
I????Bozo,45,12,33
I????Bozw,45,13,26
I????Bo~o,44,12,40
I????Bo~w,47,12,13
I????Bwpo,36,8,44
I????Bwpw,38,18,44
I????Bwxo,54,12,36
I????Bwxw,53,15,37
I????Bw|o,72,16,16
I????Bw|w,70,13,16
I????Bw~o,80,15,15
I????Bw~w,72,15,1
I????B{{o,64,16,32
I????B{{w,65,17,35
I????B{}o,80,20,10
I????B{}w,81,16,13
I????B{~o,90,18,12
I????B{~w,85,18,1
I????B}~O,84,24,0
I????B}~W,97,18,2
I????B}~o,98,21,7
I????B}~w,99,20,1
I????B~~o,112,16,0
I????B~~w,113,22,1
I???C@?~_,0,0,0
I???C@?~o,23,2,14
I???C@?~w,30,4,8
I???C@_fg,0,0,0
I???C@_fw,28,2,24
I???C@_v_,0,0,0
I???C@_vg,35,3,16
I???C@_vo,32,2,14
I???C@_vw,40,5,27
I???C@_~_,24,2,94
I???C@_~g,43,4,23
I???C@_~o,42,4,38
I???C@_~w,37,6,13
I???C@obg,0,0,0
I???C@obw,30,2,34
I???C@or_,0,0,0
I???C@org,35,7,21
I???C@oro,34,2,21
I???C@orw,50,10,36
I???C@oz_,42,6,68
I???C@ozg,59,7,19
I???C@ozo,63,6,29
I???C@ozw,50,9,29
I???C@o~_,48,9,105
I???C@o~g,59,9,30
I???C@o~o,52,8,39
I???C@o~w,45,11,14
I???C@w`w,35,4,36
I???C@wp_,0,0,0
I???C@wpg,36,9,24
I???C@wpo,32,2,29
I???C@wpw,49,16,49
I???C@wx_,82,6,20
I???C@wxg,62,10,23
I???C@wxo,64,6,42
I???C@wxw,63,13,36
I???C@w|_,90,9,45
I???C@w|g,88,10,14
I???C@w|o,73,8,27
I???C@w|w,68,12,20
I???C@w~_,100,12,72
I???C@w~g,83,12,31
I???C@w~o,67,10,33
I???C@w~w,62,14,8
I???C@{wo,59,6,54
I???C@{ww,60,16,52
I???C@{{_,93,6,21
I???C@{{g,85,10,24
I???C@{{o,75,8,34
I???C@{{w,72,16,32
I???C@{}_,100,8,36
I???C@{}g,111,12,12
I???C@{}o,84,10,16
I???C@{}w,76,15,17
I???C@{~_,105,10,65
I???C@{~g,102,14,38
I???C@{~o,82,12,23
I???C@{~w,71,17,10
I???C@}}O,70,10,30
I???C@}}W,77,16,27
I???C@}~?,65,10,45
I???C@}~G,132,14,8
I???C@}~O,82,12,10
I???C@}~W,83,19,10
I???C@}~_,54,12,78
I???C@}~g,121,17,44
I???C@}~o,89,14,17
I???C@}~w,83,19,10
I???CA@~_,12,1,8
I???CA@~o,20,2,13
I???CA@~w,21,3,18
I???CB?^_,0,0,0
I???CB?^o,38,2,50
I???CB?n_,0,0,0
I???CB?ng,29,6,22
I???CB?no,34,2,18
I???CB?~_,27,28,77
I???CB?~g,39,8,23
I???CB?~o,33,6,39
I???CB?~w,30,4,15
I???CB@Ng,31,1,22
I???CB@^_,20,0,19
I???CB@^g,39,4,35
I???CB@n_,18,0,21
I???CB@ng,29,4,32
I???CB@no,24,3,38
I???CB@nw,32,6,40
I???CB@~_,25,2,15
I???CB@~g,28,4,17
I???CB@~o,27,3,19
I???CB@~w,29,5,22
I???CB_Fg,0,0,0
I???CB_Fo,0,0,0
I???CB_Fw,34,14,40
I???CB_V_,0,0,0
I???CB_Vg,35,4,27
I???CB_Vo,52,3,50
I???CB_Vw,46,10,46
I???CB_^_,38,4,98
I???CB_^g,53,5,32
I???CB_^o,44,4,71
I???CB_^w,50,7,47
I???CB_f_,0,0,0
I???CB_fg,27,10,32
I???CB_fo,34,2,30
I???CB_fw,33,11,46
I???CB_v_,43,9,84
I???CB_vg,53,8,29
I???CB_vo,53,4,39
I???CB_vw,43,6,35
I???CB_~_,57,30,99
I???CB_~g,55,11,32
I???CB_~o,42,6,48
I???CB_~w,38,7,18
I???CB`V_,21,2,28
I???CB`Vg,47,13,42
I???CB`^_,40,6,45
I???CB`^g,47,11,46
I???CB`f_,22,2,30
I???CB`fg,34,13,43
I???CB`fo,29,5,56
I???CB`fw,34,15,59
I???CB`v_,34,5,33
I???CB`vg,40,9,35
I???CB`vo,37,6,41
I???CB`vw,43,10,43
I???CB`~_,34,7,15
I???CB`~g,36,10,17
I???CB`~o,36,8,19
I???CB`~w,37,11,22
I???CBoBo,0,0,0
I???CBoBw,38,19,43
I???CBoRo,53,4,58
I???CBoRw,48,16,56
I???CBoZ_,94,6,36
I???CBoZg,60,9,36
I???CBoZo,62,6,65
I???CBoZw,56,15,57
I???CBo^_,78,9,105
I???CBo^g,76,11,39
I???CBo^o,54,8,82
I???CBo^w,60,13,57
I???CBob_,0,0,0
I???CBobg,25,16,37
I???CBobo,34,2,39
I???CBobw,36,17,57
I???CBor_,88,9,39
I???CBorg,53,12,40
I???CBoro,52,5,57
I???CBorw,48,13,51
I???CBoz_,86,12,82
I???CBozg,79,11,29
I???CBozo,61,7,44
I???CBozw,53,10,36
