D?{,[5],0,0,0
D?{,[4 5],0,0,0
D?{,[3 4 5],0,0,0
D?{,[2 3 4 5],0,0,0
DCw,[5],0,0,0
DCw,[2 5],0,0,0
DCw,[3 5],0,0,0
DCw,[4 5],0,0,0
DCw,[2 3 5],0,0,0
DCw,[2 4 5],0,0,0
DCw,[3 4 5],0,0,0
DC{,[5],3,0,0
DC{,[3 5],1,0,2
DC{,[4 5],1,0,2
DC{,[2 3 5],1,2,0
DC{,[2 4 5],1,0,2
DC{,[3 4 5],0,3,0
DEk,[5],3,0,0
DEk,[2 5],2,1,0
DEk,[3 5],2,0,1
DEk,[4 5],2,0,1
DEk,[2 4 5],0,1,2
DEk,[3 4 5],0,1,2
DEw,[5],4,0,0
DEw,[2 5],0,2,2
DEw,[3 5],0,2,2
DEw,[4 5],2,0,2
DEw,[2 4 5],0,0,4
DEw,[3 4 5],0,2,2
DE{,[5],5,0,0
DE{,[2 5],2,1,2
DE{,[3 5],2,0,3
DE{,[4 5],2,0,3
DE{,[2 4 5],0,1,4
DE{,[3 4 5],0,3,2
DFw,[5],6,0,0
DFw,[4 5],0,0,6
DFw,[3 4 5],0,6,0
DF{,[5],7,0,0
DF{,[4 5],0,0,7
DF{,[3 4 5],0,7,0
DQo,[5],0,0,0
DQo,[2 5],0,0,0
DQo,[3 5],0,0,0
DQo,[4 5],0,0,0
DQo,[2 4 5],0,0,0
DQo,[3 4 5],0,0,0
DQw,[5],3,0,0
DQw,[2 5],1,0,2
DQw,[3 5],1,2,0
DQw,[4 5],3,0,0
DQ{,[5],6,0,0
DQ{,[3 5],2,0,4
DQ{,[4 5],2,0,4
DTw,[5],5,0,0
DTw,[2 5],1,2,2
DTw,[3 5],1,2,2
DTw,[4 5],3,0,2
DT{,[5],6,0,0
DT{,[2 5],3,3,0
DT{,[3 5],3,0,3
DT{,[4 5],3,0,3
DUW,[5],5,0,0
DUW,[3 5],0,0,5
DUW,[4 5],5,0,0
DUw,[5],6,0,0
DUw,[3 5],0,2,4
DUw,[4 5],3,0,3
DU{,[5],7,0,0
DU{,[3 5],0,2,5
DU{,[4 5],2,0,5
DV{,[5],8,0,0
DV{,[3 5],1,1,6
DV{,[4 5],0,1,7
D]w,[5],7,0,0
D]w,[3 5],1,0,6
D]w,[4 5],0,1,6
D]{,[5],8,0,0
D]{,[4 5],0,0,8
D^{,[5],9,0,0
D^{,[4 5],0,0,9
D~{,[5],10,0,0
